# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.7,
1.0,1.77,
2.0,1.86,
3.0,1.97,
4.0,1.99,
5.0,1.99,
6.0,2.01,
7.0,2.1,
8.0,2.12,
9.0,2.14,
10.0,2.07,
11.0,2.15,
12.0,2.08,
13.0,2.28,
14.0,2.27,
15.0,2.27,
16.0,2.27,
17.0,2.26,
18.0,2.25,
19.0,2.25,
20.0,2.24,
21.0,2.24,
22.0,2.24,
23.0,2.24,
24.0,2.24,
25.0,2.24,
26.0,2.24,
27.0,2.24,
28.0,2.24,
29.0,2.24,
30.0,2.24,
31.0,2.08,
32.0,2.12,
